date,up,fret,p
2019-04-12,1.0,0.027675598043439307,0.3601760072073236
2019-04-15,1.0,0.03693156170179387,0.2842808318911989
2019-04-16,1.0,0.035593429293930647,0.25257720368821074
2019-04-17,1.0,0.03302021102813389,0.3535428589976125
2019-04-18,1.0,0.0386053051148847,0.3081101558811922
2019-04-19,1.0,0.03307831487703558,0.2720502565809529
2019-04-22,1.0,0.03177656984910527,0.2775972413637774
2019-04-23,1.0,0.04245506893021206,0.29018797052926487
2019-04-24,1.0,0.04350800204434746,0.3374830081620926
2019-04-25,1.0,0.03710611201105753,0.3909674066024445
2019-04-26,1.0,0.03491365258152329,0.3860963113157853
2019-04-29,1.0,0.030803975631547187,0.3031373961825993
2019-04-30,1.0,0.041397215303715804,0.30330227057482395
2019-05-06,1.0,0.0358559724283267,0.26773681246780373
2019-05-07,1.0,0.04800648467089626,0.25401915591134205
2019-05-08,1.0,0.04942841885470986,0.30269061844681766
2019-05-09,1.0,0.04925430899094631,0.34608865994074245
2019-05-10,1.0,0.046258884937495866,0.3784230269140439
2019-05-13,1.0,0.035162858245324384,0.3473348681349426
2019-05-14,1.0,0.03309279887642894,0.393883942889436
2019-05-15,1.0,0.04021064888830625,0.36189514769105
2019-05-16,1.0,0.05133605044288325,0.323051187165665
2019-05-17,1.0,0.04163071780964331,0.3788111954364848
2019-05-20,1.0,0.05626536372657997,0.3935265813710555
2019-05-21,1.0,0.051068472298698195,0.3488897745445952
2019-05-22,1.0,0.07451584030672793,0.36552014919572157
2019-05-23,1.0,0.08048126045640502,0.3232831249806071
2019-05-24,1.0,0.08144225106996414,0.38930165154413393
2019-05-27,1.0,0.09974822967837259,0.30085100597007614
2019-05-28,1.0,0.08368396872200622,0.24334833758522065
2019-05-29,1.0,0.07960712448016047,0.39279727748892407
2019-05-30,1.0,0.08820278464216762,0.36662625103901886
2019-05-31,1.0,0.05114845513756468,0.39712543332669675
2019-06-03,1.0,0.050441904083276055,0.39522602403627466
2019-06-04,1.0,0.06880380718784469,0.31548062570394436
2019-06-05,1.0,0.05151700154752671,0.2916336412850031
2019-06-06,1.0,0.05261823661516138,0.3355816373322119
2019-06-10,1.0,0.050237393926532495,0.2236178101988363
2019-06-11,1.0,0.04535850919004346,0.295180402397075
2019-06-12,1.0,0.034430162762392295,0.36231350241894117
2019-06-13,1.0,0.050798449016627965,0.27252004675693065
2019-06-14,1.0,0.028509297897876238,0.2827228793586477
2019-06-17,1.0,0.043908315386244415,0.3171321132428672
2019-06-18,1.0,0.0371897321456001,0.26958433819198246
2019-06-19,1.0,0.037095044918616295,0.3594875190133311
2019-06-20,1.0,0.02490808550528045,0.2666995424600201
2019-06-21,1.0,0.030462396255134687,0.21064128044908345
2019-06-24,1.0,0.015241083773330177,0.22317761704023498
2019-06-25,0.0,-0.00968001313499221,0.16887959943887892
2019-06-26,1.0,0.01021941131923711,0.20990918487380833
2019-06-27,1.0,0.014782467643393289,0.17301451779782712
2019-06-28,1.0,0.007076057514671803,0.20543778334541965
2019-07-01,1.0,0.0342144917502114,0.20181814286796632
2019-07-02,1.0,0.027810292816472317,0.1771285623921659
2019-07-03,1.0,0.003575040723828533,0.25127884524366095
2019-07-04,0.0,-0.003311000265630367,0.20536121648631894
2019-07-05,1.0,0.019463440416376397,0.14993256418307901
2019-07-08,1.0,0.05429179738380703,0.39531874591701244
2019-07-09,1.0,0.06813111888427084,0.24718585009959315
2019-07-10,1.0,0.0873838065648425,0.3054954883937892
2019-07-11,1.0,0.07646747920586272,0.359819371220629
2019-07-12,1.0,0.08835265298068379,0.3248586136989123
2019-07-15,1.0,0.08010322753920088,0.2872329730795828
2019-07-16,1.0,0.10321817527762865,0.3040105460855322
2019-07-17,1.0,0.08247556212378851,0.3471362270800944
2019-07-18,1.0,0.08497232052280666,0.32346224430038517
2019-07-19,1.0,0.07290314607216496,0.29685450122697005
2019-07-22,1.0,0.07724399109340807,0.35806019818286566
2019-07-23,1.0,0.07856929525012056,0.3410928910841091
2019-07-24,1.0,0.07733174832224622,0.34508450516791456
2019-07-25,1.0,0.07848045145827773,0.3205618949765086
2019-07-26,1.0,0.08165652421735034,0.36347206030743134
2019-07-29,1.0,0.11416085281616153,0.3107946382159509
2019-07-30,1.0,0.1115126603417124,0.31036831571420914
2019-07-31,1.0,0.10757683205678426,0.29215818135631594
2019-08-01,1.0,0.1362125707940697,0.3971836238566832
2019-08-02,1.0,0.09538026916829248,0.3779403588060045
2019-08-05,1.0,0.0632277822550344,0.2282307763243744
2019-08-06,1.0,0.06322451560861242,0.21024031821575678
2019-08-07,1.0,0.049096617806788305,0.16361435854904147
2019-08-08,1.0,0.04694232965803556,0.18828988078108513
2019-08-09,1.0,0.009495108022324245,0.13904020264642442
2019-08-12,1.0,0.018277834878369856,0.09184773580808907
2019-08-13,0.0,-0.02137354546989171,0.08989491732199309
2019-08-14,1.0,0.008709591999489652,0.13184950873881082
2019-08-15,0.0,-0.0036046466829701344,0.11709542451669426
2019-08-16,0.0,-0.004322773302004027,0.10814780806935044
2019-08-19,0.0,-0.004194697696162355,0.1276862190842247
