排名,开始日期,结束日期,来源窗口,最佳相似度,集成权重,随后10期收益
122,2006-06-23,2006-10-26,90,41.0141584101084,0.004013047218331018,0.06072176170141508
123,2015-11-03,2015-12-28,40,44.57017759043735,0.004011546613955835,0.017019405303243085
124,1996-11-29,1997-02-20,60,47.02517435475619,0.003996311391471312,0.003991446899501039
125,2022-07-05,2022-11-07,90,40.8273035861836,0.003973428623005397,0.03704490653424686
126,1984-02-24,1984-05-24,60,46.7954433003192,0.003939181343730113,0.02755224277918278
127,2008-02-21,2008-06-25,90,40.61580632767499,0.003928840995121951,0.04759809562490136
128,2012-11-07,2013-01-29,60,46.7243904018806,0.0039216215162616525,-0.0076030772929437385
129,2007-05-08,2007-07-02,40,44.12259596717137,0.003823474634411747,0.01163940661848617
130,1986-01-21,1986-03-17,40,44.11457101506041,0.0038201673552228726,-0.04115461560445832
131,2014-03-03,2014-05-23,60,46.242682954621905,0.00380393407568666,-0.030720420954886696
132,2019-10-24,2019-12-18,40,43.97638710301167,0.0037635719088330685,0.028455124728850256
133,1988-01-21,1988-03-16,40,43.94654130885623,0.003751435513893614,0.01692066337965037
134,1994-09-09,1995-01-12,90,39.68661526554686,0.0037361628718749445,0.0006557377049181135
135,2023-04-04,2023-08-07,90,39.65834380994213,0.0037303823875688424,-0.021419348174164465
136,1998-04-02,1998-08-05,90,39.335010829477476,0.0036646159574771037,-0.015974995658968427
137,2017-09-15,2017-11-09,40,43.71811503434993,0.0036595690515359067,0.004678535563876318
138,1988-06-13,1988-08-08,40,43.696096323684806,0.0036508085472791354,-0.0023148148148147696
139,2000-06-02,2000-10-05,90,39.01877136530764,0.003600902714227331,0.004264787687743521
140,2019-03-14,2019-05-08,40,43.55648949866942,0.003595648364939298,-0.005700898086684836
141,2006-11-24,2007-01-18,40,43.543127757975064,0.0035904037122690877,0.04699697307631023
142,1999-10-04,1999-12-24,60,45.33147378641934,0.003587734912042945,-0.020442930153321992
143,1997-02-28,1997-05-22,60,45.31472520300926,0.0035838389131567718,0.0020429009193054792
144,2023-04-18,2023-07-10,60,45.26181951480599,0.0035715505108362155,0.015610465871593204
145,2004-12-21,2005-02-14,40,43.48323927306914,0.0035669709012270223,0.023253082795067437
146,2002-05-29,2002-08-20,60,45.225077435189846,0.0035630328101245484,0.01518823719502338
147,2025-10-13,2025-12-05,40,43.46554509635568,0.0035600707967171573,0.03422424092981258
148,2021-05-20,2021-08-11,60,45.19954236704916,0.0035571210673844885,0.022620815720324483
149,2014-02-13,2014-06-18,90,38.74347680301871,0.0035459294630864357,0.03860330080524643
150,1984-12-17,1985-02-20,40,43.38071801056248,0.0035271374949972863,-0.051172003961703516
151,2000-06-14,2000-09-05,60,45.05291120199797,0.0035232990677153287,-0.012338958446743042
152,2004-11-03,2005-03-08,90,38.54117024728247,0.0035058219443482347,-0.030507320394960846
153,1998-04-09,1998-07-01,60,44.633088596055295,0.003427637792377588,-0.009107775341541502
154,2009-02-17,2009-05-11,60,44.002463546826206,0.0032871890134998885,0.04978485322939119
155,2019-08-09,2019-12-12,90,36.80655951420265,0.0031720130374837912,0.028089275993467666
156,2021-05-13,2021-09-15,90,36.77778048651819,0.0031666265896165852,-0.038108566203528094
157,2003-12-23,2004-03-15,60,43.12291635216425,0.0030977224913118343,0.04598478021427854
158,1981-09-04,1981-11-26,60,43.122558584094925,0.003097646928454371,-0.009768009768009733
159,2009-11-10,2010-03-15,90,36.35755159452851,0.0030885366124891486,0.0011457440570166177
160,2007-03-14,2007-07-17,90,36.228892842005784,0.0030648386349038676,-0.0009023913370431735
161,2002-05-16,2002-09-18,90,35.84754534670179,0.0029951756761258663,0.008428281567036011
162,2001-09-13,2002-01-16,90,35.768879691688085,0.0029809128803571882,-0.018283127285390943
163,1990-08-02,1990-12-07,90,34.82759480058363,0.0028130953991453,0.034924487594390374
164,2000-11-24,2001-03-29,90,34.7576538011074,0.0028008352173067193,0.0046340992469589
165,2017-08-21,2017-12-22,90,34.400203489442404,0.0027386276553538215,0.03490096097273976
166,2019-01-25,2019-05-30,90,33.78231232226721,0.002632871416224699,0.04175397749320919
167,2008-07-18,2008-11-20,90,32.120005509993454,0.002359477638159985,0.029447292835476313
